skill;occurence
Récolte du miel;1
Techniques de dressage;2
Modalités de stockage;17
Installations énergétiques;1
Procédés d'accouvage;1
Techniques de contention animale;2
Modalités de transport d'animaux;1
Techniques d'arrosage;1
Transformation du lait;1
Fabrication de fromage;1
Emprésurage du lait;1
Caséologie;1
Pressage manuel du caillé;1
Fermentation de fromage;1
Techniques de salage d'un fromage;1
Techniques de pasteurisation;2
Salage manuel;1
Affinage de fromage;1
Manipulation de fromages;1
Types de lait;2
Découpe manuelle de fromage;2
Système Hazard Analysis Critical Control Point (HACCP);16
Appareil de conditionnement;8
Utilisation d'instruments de mesure (hygromètre, PH-mètre, ...);1
Appréciation sensorielle;9
Techniques de vente;52
Procédures d'encaissement;33
Composition de plateaux de fromages;1
Législation sociale;61
Logiciels comptables;22
Zymologie;1
Oenologie;5
Biérologie;1
Pomiculture;1
Oenologie du cidre;1
Chimie;41
Viticulture;1
Types de cépages (ampélographie);4
Maltage de céréales;1
Brassage de céréales;1
Techniques de filtrage;1
Techniques de clarification;1
Élimination des levures;1
Fermentation alcoolique;1
Techniques de distillation;1
Dégustation d'assemblages de vins;1
Caractéristiques des spiritueux;1
Vignobles et appellations;1
Réglementation sur la production cidricole;1
Réglementation sur la production vinicole;1
Règles d'hygiène et de sécurité alimentaire;20
Cuves de fermentation;1
Utilisation d'appareils de distillation (alambic);2
Matériel vinicole;1
Techniques d'assemblages de vins, de jus;1
Tonnellerie;3
Marketing / Mercatique;49
Préparations culinaires de base;8
Sommellerie;3
Argumentation commerciale;33
Conditionnement des aliments;4
Procédures de conditionnement;6
Modes de conservation des produits alimentaires;10
Procédures d'entretien de bateaux;2
Procédures d'utilisation de bateaux;2
Manoeuvre du skiff;1
Techniques de matelotage;4
Traitement du poisson à bord;1
Techniques de pressage;3
Techniques de moissonnage;1
Procédures d'entretien de bâtiments agricoles;1
Procédures de maintenance de matériel agricole;1
Procédures d'entretien d'un site de production de saliculture;1
Saliculture;1
Engins de chargement à déplacement alternatif (CACES R 482-C1) - A partir du 01/01/2020;5
Engins de chargement à déplacement alternatif (CACES R 372-4);4
Règles d'hygiène et d'asepsie;27
Zoologie;3
Nutrition animale;3
Règles de délivrance des médicaments vétérinaires;1
Anatomie animale;7
Techniques de parage de sabot;1
Techniques de ferrage (à froid, à chaud);2
Caractéristiques du fer;1
Utilisation de matériel de forge;1
Utilisation d'outils manuels (râpe, rogne, pied, brochoir, boutoir, triçoire, repoussoir, ...);1
Procédés de formage;8
Manipulation de matériel de contention animale;1
Procédures de prévention des risques sanitaires;2
Procédures d'accueil des animaux;1
Utilisation de matériel de toilettage;2
Procédés de stérilisation;8
Chirurgie vétérinaire;1
Utilisation de matériel de radiologie;2
Code de santé publique;6
Psychologie animale;1
Diététique animale;1
Utilisation d'analyseur biologique;1
Chirurgie orthopédique;1
Exploration fonctionnelle;1
Kinésithérapie animale;1
Ophtalmologie;2
Ostéopathie équine;1
Techniques de soins dentaires;2
Harmonisation des couleurs;3
Perception des volumes;2
Histoire de l'art;18
Culture artistique;1
Techniques de sculpture;1
Architecture;7
Ameublement (salons, chambres, ...);3
Milieux urbains et industriels;1
Milieux naturels;1
Photographie;5
Calligraphie;1
Graphisme;6
Sérigraphie;2
Dessin de détail;7
Techniques de dessin;19
Techniques de peinture;19
Techniques de lithographie;4
Techniques de gravure;10
Techniques de l'aquarelle;2
Techniques de moulage;18
Techniques de taille de pierre;2
Techniques de prise de son;2
Techniques de montage vidéo;5
Création de court métrage;1
Méthodes d'analyse en acoustique;11
Électroacoustique;6
Utilisation d'outillages électroportatifs (scie électrique, ponceuse, ...);29
Utilisation d'aérographe;1
Utilisation de produits et matériaux chimiques;1
Technologies rapportées aux bois et ses dérivés;1
Procédés de fabrication en céramique;2
Découpe du verre;5
Matériaux synthétiques;3
Métallerie;1
Conception et Dessin Assistés par Ordinateur (CAO/DAO);55
Logiciel de montage photo;6
Logiciels de création vidéo;6
Types d'éclairages;2
Techniques du portrait;1
Paysage dans l'art;1
Nature morte;1
Techniques du trompe-l'oeil;2
Scénographie;7
Publication Assistée par Ordinateur (PAO);23
Techniques de communication;65
Procédés de meulage, ébavurage;2
Procédures de nettoyage/décapage;4
Perçage, dégazage;2
Caractéristiques des céramiques;5
Utilisation d'outils manuels (ébauchoir, estèque, mirette, ...);1
Caractéristiques des matériaux composites;13
Caractéristiques des pâtes céramiques;2
Caractéristiques du grès;1
Techniques du raku;1
Techniques de la plaque;1
Techniques du colombin;1
Calibrage de texte;2
Techniques d'estampage;3
Techniques de modelage;3
Techniques de coulage du béton;4
Techniques de sculpture ornementale;4
Techniques de tournage;4
Utilisation de tour;4
Techniques de polissage;4
Techniques d'incrustation de matériaux;2
Techniques de dorure;7
Techniques de vernissage;2
Techniques de craquelage;1
Application de produits par poudrage;1
Application par vaporisation, arrosage;1
Composition de décorations d'objets;1
Dessin industriel;15
Réactions thermiques;1
Principes de conservation préventive;16
Techniques de restauration;18
Caractéristiques des matériels d'éclairage;7
Architecture d'intérieur;2
Merchandising / Marchandisage;13
Muséographie;2
Caractéristiques et propriétés des bois et dérivés du bois;22
Réassortiment d'un point de vente;1
Procédures de séchage (température, durée, ...);1
Procédés de masquage;1
Peinture par filets;1
Tracé de croquis;7
Abrasion manuelle;1
Caractéristiques et propriétés du verre;4
Caractéristiques des supports textiles;2
Caractéristiques des cuirs et peaux;19
Travail des métaux;2
Menuiserie bois massif;8
Menuiserie bois de placage;8
Propriétés du plâtre;3
Caractéristiques des fibres, résines, colles;2
Préparation de bains de traitement;3
Utilisation de pistolet de projection;9
Techniques d'électrolyse;2
Propriétés des métaux;7
Propriétés des métaux précieux;6
Utilisation de fleuron et empreinte;3
Utilisation de fer à dorer;3
Techniques de titrage;2
Dorure à la feuille;2
Techniques d'entoilage;2
Histoire des arts décoratifs;3
Utilisation de pigments naturels;1
Techniques de teinture chimique;3
Techniques de ciselure;2
Caractéristiques des pierres;2
Techniques de pantographie;1
Gravure en relief;1
Gravure de lettres et chiffres;1
Gravure de motifs géométriques;1
Gravure décorative;1
